MS,OS,Time Differences,Assignment Differences,Makespan,Optimal Time Differences,Optimal Assignment Differences,Optimal Makespan
1-1-1-0-1-1-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,5-9-11-7-10-0-6-3-2-7-8-9-5-11-10-1-3-1-0-8-5-9-5-8-11-0-1-1-9-10-8,616775.00000,7.00000,1488.00000,287095,6,1465
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-0-2-0,2-1-11-7-9-10-8-6-5-0-5-7-3-11-1-10-9-0-3-8-5-9-1-0-11-5-1-8-9-10-8,1097074.00000,5.00000,1618.00000,392939,5,1553
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-0-2-0,9-1-2-7-11-5-8-5-10-7-6-0-3-11-1-5-10-0-3-8-11-9-5-1-0-9-1-8-10-9-8,1003479.00000,5.00000,1678.00000,392939,5,1553
1-1-1-0-1-1-0-1-0-1-0-0-0-0-1-1-1-0-0-0-0-0-0-2-0-0-0-0-1-2-0,9-5-2-11-7-3-6-10-5-7-8-0-3-11-1-0-9-1-5-10-8-9-5-8-11-0-1-1-9-8-10,560294.00000,10.00000,1574.00000,249701,5,1423
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-0-2-0,11-1-2-7-9-10-8-6-5-5-0-7-3-11-1-10-9-0-3-8-5-9-0-1-11-5-1-8-9-10-8,1097074.00000,5.00000,1618.00000,392939,5,1553
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-0-2-0,9-1-2-7-11-5-6-8-5-10-7-0-3-11-1-5-10-0-3-8-11-9-5-1-0-9-1-8-10-9-8,1003479.00000,5.00000,1678.00000,392939,5,1553
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,2-11-1-7-9-10-8-6-5-5-0-7-3-11-1-10-9-0-3-8-5-9-0-1-11-5-1-8-9-10-8,805322.00000,6.00000,1526.00000,325364,6,1475
1-1-1-0-1-1-0-1-0-1-0-0-0-0-1-0-1-0-0-0-0-0-0-2-0-0-0-0-0-2-0,11-1-2-7-9-0-10-3-6-7-8-5-5-11-1-10-3-9-0-8-5-9-1-8-11-0-5-1-9-10-8,587305.00000,8.00000,1573.00000,286400,5,1445
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,2-1-11-7-9-10-8-6-5-0-5-7-3-11-1-10-9-0-3-8-5-9-1-0-11-5-1-8-9-10-8,805322.00000,6.00000,1526.00000,325364,6,1475
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-0-0-0-0-0-0-0-0-0-1-2-0,9-5-11-7-10-0-6-3-2-7-5-8-10-11-1-3-1-0-5-8-5-9-8-11-0-9-1-1-10-9-8,591819.00000,7.00000,1543.00000,287095,5,1465
1-1-1-0-1-1-0-1-0-1-0-0-0-0-1-0-1-0-0-0-0-0-0-2-0-0-0-0-1-2-0,5-9-11-7-10-0-6-3-2-7-8-9-5-11-10-1-3-1-0-8-5-9-5-8-11-0-1-1-9-10-8,604715.00000,9.00000,1504.00000,260905,6,1445
1-1-1-0-1-1-0-1-0-1-0-0-0-0-1-0-1-0-0-0-0-0-0-2-0-0-0-0-1-2-0,5-9-11-7-10-0-6-3-2-7-9-5-8-10-11-1-3-1-0-5-8-9-5-8-11-0-1-1-9-10-8,604715.00000,9.00000,1504.00000,260905,6,1445
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,9-11-2-7-3-5-8-5-6-10-7-0-3-11-1-5-10-1-0-8-11-9-5-0-1-9-1-8-10-9-8,722069.00000,6.00000,1553.00000,325364,5,1475
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,5-9-11-2-7-6-0-3-10-8-7-3-5-11-1-10-1-0-8-9-5-5-8-11-0-9-1-1-10-9-8,690824.00000,6.00000,1593.00000,325364,5,1475
1-1-1-0-1-1-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,5-9-11-7-10-0-6-3-2-7-8-9-5-10-11-1-3-1-0-8-5-9-5-8-11-0-1-1-9-10-8,616775.00000,7.00000,1488.00000,287095,6,1465
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,2-9-11-7-3-6-8-10-0-7-5-5-3-1-1-10-5-11-0-9-8-5-8-11-0-9-1-1-10-9-8,690824.00000,6.00000,1593.00000,325364,5,1475
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,9-11-2-7-3-5-8-5-10-7-6-0-3-11-1-5-10-1-0-8-11-9-5-0-1-9-1-8-10-9-8,722069.00000,6.00000,1553.00000,325364,5,1475
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-0-2-0,9-1-2-7-11-5-5-8-10-7-6-0-3-11-1-5-10-0-3-8-11-9-5-1-0-9-1-8-10-9-8,1003479.00000,5.00000,1678.00000,392939,5,1553
1-1-1-0-1-2-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,2-1-11-9-7-10-8-6-5-7-5-0-3-11-1-10-9-0-3-8-5-9-1-0-11-5-1-8-9-10-8,805322.00000,6.00000,1526.00000,325364,6,1475
1-1-1-0-1-1-0-1-0-1-0-0-0-0-1-0-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,5-9-11-7-10-0-6-3-2-7-9-5-8-10-1-11-3-1-0-5-8-9-5-8-1-11-1-0-9-10-8,616775.00000,7.00000,1488.00000,287095,6,1465