solution_id,orig_time_diff,orig_assign_diff,orig_makespan,lb_time_diff,lb_assign_diff,lb_makespan,gap_time_diff,gap_assign_diff,gap_makespan
0,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
1,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
2,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
3,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
4,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
5,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
6,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
7,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
8,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
9,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
10,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
11,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
12,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
13,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
14,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
15,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
16,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
17,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
18,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
19,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
20,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
21,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
22,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
23,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
24,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
25,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
26,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
27,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
28,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
29,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
30,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
31,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
32,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
33,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
34,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
35,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
36,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
37,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
38,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
39,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
40,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
41,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
42,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
43,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
44,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
45,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
46,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
47,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
48,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
49,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
50,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
51,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
52,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
53,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
54,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
55,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
56,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
57,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
58,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
59,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
60,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
61,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
62,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
63,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
64,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
65,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
66,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
67,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
68,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
69,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
70,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
71,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
72,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
73,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
74,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
75,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
76,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
77,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
78,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
79,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
80,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
81,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
82,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
83,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
84,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
85,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
86,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
87,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
88,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
89,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
90,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
91,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
92,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
93,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
94,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
95,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
96,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
97,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
98,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
99,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
100,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
101,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
102,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
103,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
104,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
105,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
106,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
107,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
108,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
109,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
110,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
111,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
112,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
113,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
114,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
115,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
116,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
117,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
118,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
119,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
120,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
121,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
122,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
123,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
124,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
125,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
126,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
127,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
128,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
129,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
130,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
131,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
132,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
133,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
134,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
135,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
136,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
137,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
138,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
139,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
140,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
141,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
142,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
143,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
144,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
145,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
146,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
147,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
148,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
149,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
150,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
151,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
152,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
153,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
154,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
155,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
156,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
157,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
158,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
159,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
160,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
161,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
162,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
163,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
164,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
165,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
166,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
167,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
168,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
169,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
170,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
171,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
172,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
173,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
174,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
175,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
176,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
177,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
178,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
179,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
180,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
181,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
182,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
183,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
184,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
185,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
186,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
187,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
188,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
189,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
190,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
191,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
192,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
193,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
194,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
195,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
196,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
197,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
198,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
199,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
