MS,OS,Time Differences,Assignment Differences,Makespan
0-0-0-0-0-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-3-4-1-4-0-0-0-0-0-3-0-0-0,1-3-1-7-9-1-4-4-0-2-3-7-6-0-1-5-9-7-5-2-3-5-0-6-8-9-3-9-5-0-4-8-2-6-2-7-0-6-7-2-8-4-8-3-5,424.00000,9.00000,39.00000
0-0-0-0-0-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-3-4-1-4-0-0-0-0-0-3-0-0-0,1-7-3-1-9-4-3-0-2-4-1-7-6-7-0-1-5-9-5-3-5-2-6-8-0-9-9-0-4-5-0-3-8-2-6-2-6-7-4-8-7-8-3-2-5,424.00000,9.00000,39.00000
0-0-0-0-0-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-0-4-1-4-0-0-0-0-0-3-0-0-0,1-3-1-7-9-6-4-4-0-9-2-3-7-1-0-1-5-7-5-2-3-5-9-0-8-9-6-3-0-5-8-0-2-6-2-7-4-6-7-8-2-4-3-8-5,407.00000,10.00000,39.00000
0-0-0-0-1-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-3-4-1-4-0-0-0-0-0-3-0-0-0,1-1-9-7-3-0-1-4-3-2-4-6-1-0-9-7-5-7-8-5-2-3-8-6-0-5-9-9-3-0-5-4-8-2-6-2-7-7-0-6-8-5-2-4-3,504.00000,10.00000,38.00000
0-0-0-0-1-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-3-4-1-4-0-0-0-0-0-3-0-0-0,1-1-9-7-3-0-1-4-3-2-4-6-1-0-9-7-5-7-8-5-2-3-8-5-0-6-9-9-3-0-5-4-8-2-6-2-7-7-0-6-8-5-2-4-3,504.00000,10.00000,38.00000
0-0-0-0-1-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-0-4-1-4-0-0-0-0-0-3-0-0-0,1-3-1-7-9-4-0-2-4-6-9-3-7-1-0-1-5-7-5-3-5-0-9-8-2-9-6-2-4-5-0-2-7-6-8-7-6-3-2-4-0-8-8-3-5,437.00000,11.00000,38.00000
0-0-0-0-1-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-3-4-1-4-0-0-0-0-0-3-0-0-0,1-1-0-7-3-9-1-4-3-2-4-6-1-0-0-7-5-7-8-5-2-3-8-6-9-5-9-9-3-0-5-4-8-2-6-2-7-7-0-6-2-5-8-4-3,504.00000,10.00000,38.00000
0-0-0-0-1-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-3-4-1-4-0-0-0-0-0-3-0-0-0,1-1-9-7-3-0-1-4-3-2-4-6-1-0-9-7-5-7-8-5-2-3-8-9-0-5-9-6-3-0-5-4-8-2-6-2-7-7-0-6-8-5-2-4-3,504.00000,10.00000,38.00000
0-0-0-0-1-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-0-4-1-4-0-0-0-0-0-3-0-0-0,1-3-1-7-9-4-0-2-4-6-9-3-7-1-0-1-5-7-5-3-5-0-9-8-2-9-6-2-4-5-0-2-6-8-6-7-2-3-7-4-0-8-8-3-5,437.00000,11.00000,38.00000
0-0-0-0-1-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-3-4-1-4-0-0-0-0-0-3-0-0-0,1-3-9-7-1-0-3-4-1-2-4-1-6-0-9-7-5-7-8-5-2-3-8-6-0-5-9-9-3-0-5-4-8-2-6-2-7-7-0-6-8-5-2-4-3,504.00000,10.00000,38.00000
0-0-0-0-1-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-3-4-0-4-0-0-0-0-0-3-0-0-0,1-4-3-7-1-3-4-9-2-7-5-1-9-0-5-1-6-0-5-3-2-4-0-2-8-9-9-5-2-6-7-8-3-2-5-6-4-6-7-0-8-0-8-3-7,527.00000,9.00000,38.00000
0-0-0-0-0-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-3-4-0-4-0-0-0-0-0-3-0-0-0,1-2-3-7-1-3-4-9-4-7-1-5-1-0-5-9-6-0-5-3-6-2-0-2-3-5-2-8-4-9-7-9-6-2-8-5-4-6-7-0-8-0-8-3-7,511.00000,8.00000,39.00000
0-0-0-0-1-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-0-4-1-4-0-0-0-0-0-3-0-0-0,1-3-1-7-9-4-0-2-6-4-9-3-7-1-0-1-5-7-0-5-3-5-8-2-9-9-6-4-5-6-2-0-7-2-8-3-7-4-6-2-3-0-8-8-5,437.00000,11.00000,38.00000
0-0-0-0-0-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-3-4-1-4-0-0-0-0-0-3-0-0-0,1-1-9-7-3-0-1-4-3-2-4-6-1-0-9-7-5-7-3-5-2-6-8-9-0-5-9-4-3-0-5-8-6-2-6-2-7-7-0-4-8-5-2-8-3,424.00000,9.00000,39.00000
0-0-0-0-1-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-3-4-1-4-0-0-0-0-0-3-0-0-0,1-1-9-7-3-0-1-4-3-2-4-6-1-0-9-7-5-7-8-5-2-3-8-6-0-5-9-9-3-0-5-4-8-2-6-2-7-6-0-7-8-5-2-4-3,504.00000,10.00000,38.00000
0-0-0-0-0-0-0-1-0-4-1-3-0-3-4-0-0-1-0-0-2-4-0-0-3-4-0-0-0-4-1-1-3-4-1-4-0-0-0-0-0-3-0-0-0,1-3-1-9-7-1-4-4-0-1-2-6-9-3-0-7-5-7-5-2-3-5-0-8-9-9-6-0-5-3-0-4-2-8-2-7-6-6-7-8-2-4-8-3-5,424.00000,9.00000,39.00000
